"gene_id","p_threshold","method","n_snps","beta","se","pvalue","heterogeneity_Q","heterogeneity_Q_df","heterogeneity_Q_pval","heterogeneity_I2"
"ENSG00000116991.12","0.0001","IVW",22,0.380812097646639,0.535634807399985,0.477112291751827,40.0605342456975,0.00731172769022391,3.52986167901884e-13,0.999817483020936
"ENSG00000212916.6","0.0001","IVW",20,0.515647362759615,0.409919546690281,0.208419484058699,37.8268249407099,0.00624307891116461,9.70658367719846e-13,0.999834956306247
"ENSG00000135778.12","0.0001","IVW",21,-0.168079055433473,0.0642377313985917,0.00888321870920415,30.5364794426823,0.061614698262707,4.92631698848626e-10,0.997982259271952
"ENSG00000231940.1","0.0001","IVW",22,0.162293903437837,0.401537980727749,0.686079842639556,40.7282670562398,0.00605717692104298,2.05674379003695e-13,0.999851278304754
"ENSG00000135749.19","0.0001","IVW",22,-0.610603054452766,1.66095815602895,0.713155873676184,40.7826420712316,0.00596447657307529,1.96810825802413e-13,0.999853749628024
"ENSG00000143674.11","0.0001","IVW",23,-0.349152556217976,0.135615321060583,0.0100361739402378,32.1406530737387,0.0750294622308185,2.62494336633078e-10,0.99766558999101
"ENSG00000289305.1","0.0001","IVW",30,-0.384377818362302,0.493110876900288,0.43568775742583,45.7070485701745,0.0250867840796219,6.55792400572323e-14,0.999451139706798
"ENSG00000135750.15","0.0001","IVW",30,0.291425483895946,0.857909070650027,0.734087928735938,46.4797681926646,0.021012213905741,3.64564859224976e-14,0.999547927738825
"ENSG00000286666.1","0.0001","IVW",32,-0.0551588407789492,0.198208077100565,0.780791630092251,42.6225198620303,0.0798386998423762,1.15169430295858e-12,0.998126842333564
"ENSG00000215835.2","0.0001","IVW",33,0.13484750842658,0.167227854746878,0.420029597451387,40.8954667003734,0.13466180243518,5.2751434898794e-12,0.996707170420091
"ENSG00000143157.12","0.0001","IVW",39,0.578574808795434,0.371173694671895,0.119050579125404,48.4112843825899,0.120031700479878,9.18077843408915e-14,0.997520584260246
"ENSG00000225171.2","0.0001","IVW",40,-0.148217671801189,0.0669664411700245,0.0268760976427222,46.9647850217027,0.17846562035393,3.2177903759943e-13,0.996200011981925
"ENSG00000152382.6","0.0001","IVW",40,0.46391805913433,0.409624116521249,0.257405054548303,51.1807188949277,0.0916017496154222,1.58101363781311e-14,0.998210229328676
"ENSG00000143195.13","0.0001","IVW",43,0.296106971268901,0.156501461088973,0.0584856967765573,46.8888621518306,0.278882168950389,6.26581782865399e-13,0.994052272626123
"ENSG00000143194.13","0.0001","IVW",43,-0.0663791417165528,0.0410742205375693,0.106077463072834,47.9063842053239,0.245569859969864,3.06940844518949e-13,0.994873963793273
"ENSG00000198842.10","0.0001","IVW",46,0.611786047507951,0.19745468365074,0.00194593710328399,40.9582526534373,0.643794821174065,5.74740019392538e-11,0.984281682457954
"ENSG00000143167.12","0.0001","IVW",48,0.141980479658985,0.150611197872563,0.345836739714295,49.9527918795156,0.356853458121681,1.89173562608068e-13,0.992856185916847
"ENSG00000231605.6","0.0001","IVW",50,0.299074445085453,0.0843940597573571,0.0003944260060803,39.1436165427661,0.842050985726531,2.61140818793753e-10,0.978488165885067
"ENSG00000272205.1","0.0001","IVW",50,0.42733053519476,0.245143389930212,0.0813011230993968,48.6633346275516,0.486693629060624,6.30176049494455e-13,0.98999876122782
"ENSG00000143190.23","0.0001","IVW",50,0.348024583301156,0.488934947520738,0.476587761671309,51.172903083427,0.38839784162202,1.16133880569993e-13,0.992410087796098
"ENSG00000287218.1","0.0001","IVW",50,0.187096901471451,0.183714208388827,0.30848182148275,53.2023989234697,0.315654452736674,2.90816576159597e-14,0.994066913163244
"ENSG00000198821.11","0.0001","IVW",50,-0.022893910597167,0.135603350545486,0.865930378287065,54.2969293453174,0.279695855310558,1.37213089220278e-14,0.994848772137154
