"gene_id","p_threshold","method","n_snps","beta","se","pvalue","heterogeneity_Q","heterogeneity_Q_df","heterogeneity_Q_pval","heterogeneity_I2"
"ENSG00000243970.4","0.00001","IVW",60,0.0106132476480754,0.0558911689744883,0.849394297227304,23.5394268657018,0.999990009377323,1.22377325230563e-06,0.957518506500498
"ENSG00000228060.3","0.00001","IVW",61,-0.00504812220944043,0.149049962587877,0.972981886126645,24.3293257017258,0.999988583016656,8.11913943664736e-07,0.958897809364864
"ENSG00000090621.15","0.00001","IVW",62,-0.00594902788812689,0.188167375443898,0.974778588142892,24.342929240411,0.999992811242406,8.06208163729345e-07,0.958920604773301
"ENSG00000163909.8","0.00001","IVW",66,-0.111584775535233,0.165346404201782,0.499768169896425,28.3430090750172,0.999979040056609,1.01608115815212e-07,0.964718670575524
"ENSG00000116981.4","0.00001","IVW",67,-0.0138627042775373,0.119765284077987,0.907851521049599,28.9685665013896,0.999979326198912,7.35587727922887e-08,0.965480538149827
"ENSG00000116983.13","0.00001","IVW",68,0.017404463616763,0.367992233045577,0.96227752621682,29.6165314310485,0.999979335211503,5.26513858060094e-08,0.966235771479871
"ENSG00000084072.17","0.00001","IVW",68,-0.051516816693583,0.110764860597357,0.641859328607809,29.4024496356332,0.999982054224152,5.88007795254881e-08,0.965989838716967
"ENSG00000134744.14","0.00001","IVW",62,0.315964252667268,0.104109064042136,0.00240587451996463,48.9921311072917,0.865751669074421,1.79092498735357e-12,0.982328760772246
"ENSG00000116157.6","0.00001","IVW",60,-0.438798612841737,0.245782820813041,0.0742109916464303,54.9218623660264,0.626523048916237,4.1619011036914e-14,0.988592465333007
"ENSG00000182183.15","0.00001","IVW",59,0.312690091663948,0.143157999694462,0.0289453033009678,51.7658158361588,0.70486808386315,2.69813284783537e-13,0.986383522166557
"ENSG00000162377.6","0.00001","IVW",59,-0.146347188750934,0.18574510640948,0.430759549141492,55.9159046996057,0.553194020380705,1.94019295676068e-14,0.990106678531759
"ENSG00000162378.13","0.00001","IVW",57,0.0719736313688658,0.185928477207185,0.698679319471843,55.885295074515,0.479179873695665,1.49524534263763e-14,0.991425653688385
"ENSG00000228929.1","0.00001","IVW",57,-0.0537485753395553,0.146106975237103,0.712969137807691,55.8998151176935,0.478633124573343,1.48099210298342e-14,0.991437661760319
"ENSG00000230953.2","0.00001","IVW",52,-0.0319111582712824,0.258141945820857,0.901617226966139,51.5397438354243,0.452531340651254,1.25563679198949e-13,0.991219759607338
"ENSG00000121310.17","0.00001","IVW",52,0.226402595478859,0.700419470540971,0.746514564724455,51.4497824888161,0.456035104230676,1.33354462025563e-13,0.991136306468743
"ENSG00000116171.19","0.00001","IVW",52,0.0161871884638168,0.127698280232406,0.899129398273887,51.5389489244592,0.45256226678252,1.25630506289498e-13,0.991219024131714
"ENSG00000174348.14","0.00001","IVW",48,0.120002857946549,0.219453657501445,0.584498616231394,48.3049463428974,0.419941750136364,5.82277470718588e-13,0.991306444123644
"ENSG00000162383.13","0.00001","IVW",47,0.209333222070498,0.0601818210807336,0.000504517445627017,35.5742607469714,0.866720309251449,1.75094496208079e-09,0.975636308638536
"ENSG00000157184.7","0.00001","IVW",45,0.179392683672415,0.706184461510966,0.799471675951315,44.7794774739395,0.438944397619296,3.88159015862216e-12,0.990197643599688
"ENSG00000162384.14","0.00001","IVW",45,0.0764121141353783,0.0801966646885743,0.340686788663428,43.3075821895575,0.501183503651812,1.053282402045e-11,0.988427349708461
"ENSG00000162385.11","0.00001","IVW",45,0.377929696136757,0.189748799393366,0.0463999266255371,40.5124000711085,0.62189488267153,6.74680149062758e-11,0.984649270801533
"ENSG00000226754.2","0.00001","IVW",45,-0.163888327776102,0.292742626409948,0.575590218160715,44.1648239772267,0.46467234837789,5.89757177231890e-12,0.989478677677568
"ENSG00000157193.18","0.00001","IVW",42,0.273598509594559,0.30020697238795,0.36210241797232,42.1233500080834,0.422118125911591,1.43350862755627e-11,0.989978999157698
"ENSG00000225675.2","0.00001","IVW",42,-0.0949777926084666,0.253118679331374,0.707489213380035,42.8296147764655,0.392597858441632,8.79731510292582e-12,0.990833495456575
"ENSG00000162604.12","0.00001","IVW",9,0.554189258440376,0.256069198342432,0.0304477153009959,3.21091136612136,0.920432773489499,0.0651371186249453,0.713342204583697
"ENSG00000271200.1","0.00001","IVW",9,0.0171128112389477,0.846904972136126,0.983878806666009,7.89433738566454,0.443859152619545,0.00138403172609864,0.943774995805784
"ENSG00000132849.22","0.00001","IVW",9,0.328623945430674,0.151372199141939,0.0299337187363651,3.18165093724067,0.922445937570686,0.0665325582533551,0.710073180318552
"ENSG00000132854.19","0.00001","IVW",9,-0.078822978246034,0.0831401548097959,0.3430920336776,6.99590230297589,0.537074844269898,0.00307108287780202,0.923230082266666
"ENSG00000162607.13","0.00001","IVW",13,0.885470544206807,1.09409216420504,0.418331171357662,9.96791907419778,0.618775208490209,0.00069636869841496,0.937923331451203
"ENSG00000116641.18","0.00001","IVW",19,-0.504572522709919,0.796664967336974,0.52650120310362,12.6903335500692,0.80963109623415,0.000246293999645027,0.936200960121357
"ENSG00000235545.1","0.00001","IVW",19,-0.473616642846658,0.357315602277127,0.185010181954157,11.3345615904479,0.879623861310551,0.000597947897017462,0.922394540424762
"ENSG00000125703.15","0.00001","IVW",16,0.010644519480142,1.4110460868195,0.993981049040951,9.12055128247147,0.871130244869595,0.00197549861762935,0.904487106328343
"ENSG00000229537.7","0.00001","IVW",16,-0.0145967564480863,0.251142163548971,0.953651857730808,9.11723008253866,0.871308449236668,0.0019798355103309,0.904432767260596
"ENSG00000118473.23","0.00001","IVW",18,-0.41229497633993,0.840500159345872,0.623755175077733,32.6333148517631,0.0125397541031396,3.04217829962437e-11,0.999615737654599
"ENSG00000248458.2","0.00001","IVW",16,-0.302474796320214,0.257724974385382,0.240541650761344,16.080759405892,0.376704732629491,1.11151015355321e-05,0.976574195091093
"ENSG00000152760.10","0.00001","IVW",16,-0.250724089997649,0.0816597003210458,0.00213806045179249,8.13035359820641,0.918450303485597,0.00374952249380997,0.887034396180726
"ENSG00000172410.5","0.00001","IVW",16,0.0762699088376025,0.355602545476371,0.830172159022362,17.5037394794419,0.289652706477492,3.51992505450052e-06,0.983451952834553
