"gene_id","p_threshold","method","n_snps","beta","se","pvalue","intercept","intercept_se","intercept_pvalue"
"ENSG00000142627.13","0.001","MR-Egger",110,0.13614782650862,0.250749909092535,0.587155542457216,-0.00463734969070629,0.0161886451193413,0.774528171582047
"ENSG00000142632.17","0.001","MR-Egger",111,0.129889967926203,0.120683338160632,0.281798698748839,-0.00650612857083806,0.0165606989901206,0.694418766848205
"ENSG00000237276.9","0.001","MR-Egger",111,0.156821566932059,0.120689739494265,0.193814310067428,-0.0194344123040702,0.0172456960712392,0.259778942568127
"ENSG00000288398.1","0.001","MR-Egger",111,-0.178191074347889,0.10284357636827,0.0831593633970793,0.00548303877543158,0.0152614156782676,0.719389685516203
"ENSG00000132881.12","0.001","MR-Egger",110,-0.233527276126075,0.15718277838343,0.137357106301488,0.00404711506448826,0.0165779790518413,0.807133266882554
"ENSG00000233929.1","0.001","MR-Egger",111,0.229383355830593,0.141784201674581,0.105698295294801,-0.0321209351505394,0.0195918011078212,0.101107288209438
"ENSG00000037637.11","0.001","MR-Egger",107,0.169611257351807,0.217116738045172,0.434685790308532,-0.00630373385336738,0.0155938086651061,0.686031873956911
"ENSG00000055070.17","0.001","MR-Egger",107,0.77417131938787,0.532256708237974,0.145805684107747,-0.0162671437084038,0.0177344689038068,0.359005681105576
"ENSG00000157191.20","0.001","MR-Egger",107,1.8568333157573,0.516868565711379,0.00032756202455575,-0.0442068054895909,0.0159682589261199,0.00563292662337056
"ENSG00000226029.1","0.001","MR-Egger",105,-0.147248159165154,0.1286223199178,0.252287739606279,-0.00991985701506369,0.0168192518045518,0.555330232140811
"ENSG00000080947.15","0.001","MR-Egger",103,-0.0159847099092658,0.381334972709468,0.966564254136107,0.0124592147172163,0.0181350203979677,0.492066893567575
"ENSG00000261135.1","0.001","MR-Egger",104,-0.463102795669079,0.156867450075702,0.00315526902453422,0.0107649171225093,0.0158340631064653,0.496594271770107
"ENSG00000233421.5","0.001","MR-Egger",103,-0.137413602879909,0.111143798319631,0.216325257655426,0.0174464191829011,0.0164150995335436,0.287860186478439
"ENSG00000219481.11","0.001","MR-Egger",103,-0.122990130997177,0.108345165605076,0.256304292445169,-0.00484300249264361,0.017180761829189,0.778031537876614
"ENSG00000186301.8","0.001","MR-Egger",102,-0.0381017470130166,0.0894261458928967,0.670057254904684,0.00742100428904206,0.0188246200719608,0.693420089070148
"ENSG00000215908.10","0.001","MR-Egger",102,0.0163023388115779,0.0870285693193831,0.851408416661856,-0.0217084139172244,0.0172924048837533,0.209343475861878
"ENSG00000236698.1","0.001","MR-Egger",103,-0.111389474826105,0.145104997333123,0.442696690139822,0.00964355443082474,0.0181793683199103,0.595788203948907
"ENSG00000268869.6","0.001","MR-Egger",102,0.00177166860057957,0.106116671484218,0.986679554343995,0.0134999733501852,0.0169751618507906,0.426451787974733
"ENSG00000186715.11","0.001","MR-Egger",97,-0.0704892114123546,0.0615305324277029,0.251961817686113,0.0154963273531423,0.0175694204974729,0.377773776306083
"ENSG00000228549.5","0.001","MR-Egger",91,0.0615860136600496,0.0893395280450091,0.49060437815242,0.00109339794867736,0.0180145521805902,0.951601905798002
"ENSG00000238142.3","0.001","MR-Egger",91,0.0635549812590153,0.0709870722375428,0.370624816919272,-0.00391768928596309,0.0179277691951991,0.827019059594441
"ENSG00000272426.1","0.001","MR-Egger",92,-0.0857764215650893,0.130825676334977,0.512046558059045,-0.0010361845947337,0.0185721175074746,0.955507121409484
"ENSG00000058453.17","0.001","MR-Egger",92,0.170227040291335,0.160064205545869,0.287558783025044,-0.0286833113239872,0.020977781785169,0.171525462596384
"ENSG00000159363.19","0.001","MR-Egger",88,-0.350187308791286,0.478961209474063,0.464694141313047,0.0314114075925373,0.0205667379512416,0.126688499431789
"ENSG00000117118.10","0.001","MR-Egger",88,-0.271414266804414,0.297716499868614,0.361951189009259,0.0173038648105554,0.0190698089489966,0.364197522359007
"ENSG00000117115.13","0.001","MR-Egger",85,0.414108956705094,0.507279865540762,0.414310085943178,-0.0264453673390313,0.0213126747501352,0.214669230127199
"ENSG00000159339.13","0.001","MR-Egger",80,-0.0385425842372687,0.0591983015562156,0.514997527960651,0.00777842072268494,0.0164550380006367,0.636421838310165
"ENSG00000179051.14","0.001","MR-Egger",75,-0.296967052671526,0.255714050653678,0.245509863283505,0.00601526429391855,0.0215126288993164,0.779772520850751
"ENSG00000074964.17","0.001","MR-Egger",71,0.291836679613934,0.389162971022169,0.453309722304115,0.00456201637106833,0.0241694461244676,0.850287677903541
"ENSG00000117148.8","0.001","MR-Egger",75,-0.0302509580777919,0.106074556233269,0.775501792312473,-0.00440018945994672,0.0181935507441085,0.808893020523048
"ENSG00000261781.1","0.001","MR-Egger",70,-0.0431818182323376,0.0828122838307732,0.602058770852881,0.00454893340760961,0.0200095730521451,0.820161039939502
"ENSG00000117154.12","0.001","MR-Egger",67,-0.648959526009122,0.322677073371486,0.0443071511712931,0.0592759476943384,0.021611528378558,0.00609190836362883
"ENSG00000280222.1","0.001","MR-Egger",67,0.104347345051263,0.141828589334553,0.461895899808805,-0.000200374519358256,0.0192422506551779,0.991691572420146
"ENSG00000116991.12","0.001","MR-Egger",43,1.09591715503358,0.644818815726497,0.0892111248939602,-0.0850004268732889,0.042290227195897,0.0444385216661878
"ENSG00000212916.6","0.001","MR-Egger",42,-0.291911308669066,0.3962849916938,0.461353686819719,0.053833145794052,0.0374734997544384,0.150841425054406
"ENSG00000135778.12","0.001","MR-Egger",44,-0.110811741193139,0.0710733411654425,0.118968401941208,-0.0427612328031821,0.0284054429866206,0.132224173352864
