"gene_id","p_threshold","method","n_snps","beta","se","pvalue","heterogeneity_Q","heterogeneity_Q_df","heterogeneity_Q_pval","heterogeneity_I2"
"ENSG00000289192.1","0.00001","IVW",21,0.0143379666762083,0.0562651028505639,0.7988553572128,9.8611741217905,0.970619922926648,0.00159738475434933,0.901571566332873
"ENSG00000118733.17","0.00001","IVW",20,0.175460984399502,1.12776523491271,0.876361805569922,9.87546702290485,0.955951103737804,0.00154125806301765,0.903199402972984
"ENSG00000158966.16","0.00001","IVW",34,-0.472055192497027,0.293104993404445,0.107281600698513,33.7753727940706,0.429862912231061,1.13368183215711e-09,0.987272889189057
"ENSG00000162437.14","0.00001","IVW",33,0.598343254594355,0.973536315727808,0.538813598248059,55.6451095917109,0.00592423660019998,8.59488689599972e-17,0.999893535359285
"ENSG00000185031.6","0.00001","IVW",33,0.140532957860597,0.250814147026494,0.575269956835643,55.7549723826603,0.00576552665041436,7.90002584822687e-17,0.999896591704667
"ENSG00000226891.9","0.00001","IVW",33,-0.030136435564952,0.508726631930923,0.952761780142053,56.2957970073138,0.00504050312700999,5.21385612605272e-17,0.999910463952995
"ENSG00000272506.1","0.00001","IVW",33,-0.265855099288224,0.237672667073253,0.263320783151679,54.1833772970149,0.00846217785474115,2.62905548398655e-16,0.999843823359176
"ENSG00000162434.13","0.00001","IVW",33,-0.0990552451301998,0.14025946565281,0.480045991472555,55.4379036484561,0.00623472107230011,1.00750340973249e-16,0.999887536853633
"ENSG00000288804.1","0.00001","IVW",33,-0.392107275343343,0.234299539324402,0.0942230332494059,51.770882393778,0.014938794843085,1.64040196095387e-15,0.999711444075273
"ENSG00000162433.15","0.00001","IVW",33,-1.23038669927935,0.707606353468987,0.0820697566729193,51.4416520576943,0.0161109183197212,2.10319681851359e-15,0.999686811801813
"ENSG00000116675.16","0.00001","IVW",30,0.430023754629705,1.02205509834427,0.673941881796188,50.2387264318558,0.00851125890591553,2.04400344493563e-15,0.999830583704835
"ENSG00000213625.9","0.00001","IVW",23,0.0182960648960867,0.198843800795147,0.926688309240894,35.477064761917,0.0345196150114934,1.94018098179527e-11,0.999026987851358
"ENSG00000116678.20","0.00001","IVW",24,0.166862686555159,0.157380914854311,0.289032117681325,35.0586509092638,0.051322266274799,3.70145298111727e-11,0.998536102646744
"ENSG00000184588.18","0.00001","IVW",29,-0.426723572027339,0.555851455602156,0.442669274595834,43.0732076382619,0.0342423226074928,3.59367529390477e-13,0.999205020371479
"ENSG00000058085.15","0.00001","IVW",26,-0.0959129202558064,0.0458102456899282,0.036286695712262,6.36361551060449,0.99993938695444,0.0116472119566295,0.842866152851611
"ENSG00000157064.11","0.00001","IVW",26,-0.0797357273175028,0.773320937779134,0.917877099722113,10.7365647097859,0.994141447063144,0.00103875814447993,0.907406002391339
"ENSG00000232860.9","0.00001","IVW",26,0.102168931212725,0.156848407010692,0.514797038055066,10.322891668022,0.99568890281218,0.00130328051300873,0.903545543745596
"ENSG00000116698.22","0.00001","IVW",26,0.0525428800672702,0.155770940588895,0.735884266813983,10.6334189089398,0.994563225268875,0.00109922932687156,0.90646816101332
"ENSG00000116701.15","0.00001","IVW",26,0.0463730703956326,0.902791506932104,0.95903362829124,10.7445575119711,0.994107708422341,0.00103421281497828,0.907478022495133
"ENSG00000162704.16","0.00001","IVW",25,-0.0718989934372993,0.238350473199185,0.762917054400204,10.6119757466491,0.991521640278586,0.00110564451242731,0.906565783417695
"ENSG00000143344.16","0.00001","IVW",25,-0.870816504827448,0.410016826843789,0.0336822259788775,6.19220761035902,0.999904457790294,0.0128293623284601,0.838522136092863
"ENSG00000198756.12","0.00001","IVW",29,0.177644342405344,0.25249817040899,0.4817148975029,12.9559085113135,0.993094448519985,0.000314572672998207,0.92334814284519
"ENSG00000198860.14","0.00001","IVW",29,-0.203510909443493,0.196640612428977,0.300697706930127,12.3797895877701,0.995268828784145,0.000429993981485824,0.919605351793106
"ENSG00000271387.1","0.00001","IVW",23,0.0216289692537549,0.266461879956354,0.935305985929678,10.1973272336356,0.984425689831582,0.00136576341804843,0.903462381143906
