"gene_id","p_threshold","method","n_snps","beta","se","pvalue","intercept","intercept_se","intercept_pvalue"
"ENSG00000116991.12","0.00001","MR-Egger",14,1.62732545011866,1.04207290612611,0.118376730133684,-0.13485452233232,0.0684914226461953,0.0489616237447827
"ENSG00000212916.6","0.00001","MR-Egger",14,-1.42901072633438,1.35652806837273,0.2921428249148,0.130623640645879,0.10563315368683,0.216243767955277
"ENSG00000135778.12","0.00001","MR-Egger",14,-0.0835830347955857,0.0915623562192309,0.361319496047513,-0.0829958127334162,0.0591306185689098,0.160437609612687
"ENSG00000231940.1","0.00001","MR-Egger",14,1.2679153433184,1.22138173477594,0.299223896144843,-0.0662572292946289,0.0902748301472879,0.462979092471192
"ENSG00000135749.19","0.00001","MR-Egger",14,-1.1241935322766,4.1822455975917,0.788082504806311,-0.00939518669595491,0.101327215683394,0.926125009981071
"ENSG00000143674.11","0.00001","MR-Egger",15,-0.575647523408284,0.190232573356046,0.0024779611938277,0.0621290350539638,0.0478177660404579,0.193845215376129
"ENSG00000289305.1","0.00001","MR-Egger",20,-2.5317498201213,0.873624198915721,0.00375568557030204,0.1499545354744,0.0476932956480253,0.00166574092743121
"ENSG00000135750.15","0.00001","MR-Egger",20,-0.442890326666623,2.17979011531931,0.838994139735813,0.039650126131447,0.05704162235377,0.486987203059379
"ENSG00000286666.1","0.00001","MR-Egger",21,0.648949246915225,0.5408858045809,0.230221004071204,-0.0955916561505563,0.0645962044428069,0.138917566906496
"ENSG00000215835.2","0.00001","MR-Egger",22,0.317399782938379,0.328391290056582,0.333779424441102,-0.00497699121127515,0.0360565822339351,0.890214490467166
"ENSG00000143157.12","0.00001","MR-Egger",25,1.26084987053791,0.808909288696963,0.119066534647164,-0.0128320121612559,0.0374840555793931,0.732100645770535
"ENSG00000225171.2","0.00001","MR-Egger",25,-0.138186753051848,0.158564007286425,0.383487330220008,0.000971984236097281,0.045438693159603,0.982933662460307
