chr,gene_id,chr,method,n_snps,beta,se,pvalue,heterogeneity_Q,heterogeneity_Q_df,heterogeneity_Q_pval,heterogeneity_I2
1,ENSG00000143815.15,1,IVW,6,0.208951753682378,0.145124888519754,0.149922159737058,5.03152188976895,0.412045346499937,0.00699045551543966,0.918107213776057
1,ENSG00000143742.14,1,IVW,4,0.0281058957027613,0.20023256016673,0.888370614110404,2.6489289629107,0.4489761631405,0.0373180908381684,0.830506529458927
1,ENSG00000196187.12,1,IVW,4,-0.354198715568345,0.192831429353003,0.0662348722199236,0.650012600247353,0.884893605758154,0.375728336909231,0
1,ENSG00000243709.1,1,IVW,5,-0.0204254285719425,0.0532977856656236,0.701547592285677,2.14730476770781,0.708687299107058,0.092905344481126,0.669964268805884
1,ENSG00000143811.20,1,IVW,4,0.15962136176186,0.173503709958598,0.357578937836071,2.83623587487683,0.417569532706488,0.0299695516328341,0.852773340748811
1,ENSG00000143768.13,1,IVW,3,-0.0302830878875132,0.0658794075950829,0.645749830444273,5.42020490626273,0.0665299901600127,0.000668307483438294,0.987725558108857
1,ENSG00000272562.2,1,IVW,5,-0.0162654667976407,0.0648051833572673,0.801821675665762,2.35672591279776,0.670461297936742,0.0749880142389049,0.715511551726941
1,ENSG00000163041.13,1,IVW,9,0.00212563731404727,0.0431758157178412,0.960734307341287,6.74305644750845,0.564591691012825,0.00383036085131627,0.916270656280589
1,ENSG00000225518.3,1,IVW,4,-0.0231158707527074,0.0692023031990258,0.738354462869388,3.10762072351284,0.375327977202257,0.0218205041582145,0.879223363918752
1,ENSG00000185155.12,1,IVW,4,-0.0129473443466001,0.0553568557132083,0.815071367407928,0.651627276392534,0.88451828540749,0.375036297302912,0
1,ENSG00000203685.11,1,IVW,7,-0.0361415452727128,0.115563001128457,0.754475755411675,2.25567909053224,0.894746621273439,0.115517031814045,0.603336030808213
1,ENSG00000143772.11,1,IVW,3,0.109058405033213,0.278416940711252,0.69527328288625,0.0229742054541377,0.988578622133997,0.876384184691711,0
1,ENSG00000143801.18,1,IVW,5,-0.0738415952968235,0.122031359245441,0.54511026854455,3.8457884866073,0.427278207242408,0.0156083340403327,0.888897112066777
1,ENSG00000143776.20,1,IVW,9,0.0496184640031741,0.105784070164081,0.639030884292605,6.16256854567673,0.629027406716801,0.00631617890388724,0.897927722498424
