chr,gene_id,chr,method,n_snps,beta,se,pvalue
1,ENSG00000143815.15,1,Weighted Median,11,0.223295456741199,0.153282231451375,0.145182581078793
1,ENSG00000143742.14,1,Weighted Median,4,-0.190031338651965,0.268060744121132,0.478379411044645
1,ENSG00000196187.12,1,Weighted Median,5,-0.23260196050257,0.216571487255335,0.28281402454338
1,ENSG00000243709.1,1,Weighted Median,7,-0.0557965662375286,0.0641520606373371,0.384434387164881
1,ENSG00000143811.20,1,Weighted Median,6,0.254997585712807,0.194637001332256,0.19015566492802
1,ENSG00000143768.13,1,Weighted Median,4,-0.0145948029574236,0.0828278016217888,0.86013165817292
1,ENSG00000272562.2,1,Weighted Median,8,-0.0363117128290619,0.0733054944294992,0.620354659756298
1,ENSG00000163041.13,1,Weighted Median,12,-0.0318549348467588,0.0548298906363895,0.561255592623181
1,ENSG00000225518.3,1,Weighted Median,5,-0.0548460889489214,0.0799514791327622,0.492718043747497
1,ENSG00000185155.12,1,Weighted Median,6,-0.0092248539723479,0.0611595642823676,0.880107796757405
1,ENSG00000203685.11,1,Weighted Median,7,-0.033988115854328,0.144670509740128,0.814259453778589
1,ENSG00000143772.11,1,Weighted Median,3,0.125463224582643,0.332001676859071,0.705505350338694
1,ENSG00000143801.18,1,Weighted Median,6,-0.121800236470015,0.146668939625535,0.406288199622959
1,ENSG00000163050.18,1,Weighted Median,4,0.124026494010178,0.164354797713859,0.45047308855606
1,ENSG00000143776.20,1,Weighted Median,11,0.0396885450747331,0.136286902250668,0.770888266873896
1,ENSG00000162745.11,1,Weighted Median,4,0.0176104067930925,0.173412037679444,0.919111971670702
1,ENSG00000162733.19,1,Weighted Median,4,0.371154568033798,0.20272184640231,0.0671219956043843
1,ENSG00000132196.16,1,Weighted Median,4,0.228172371418198,0.129329520224302,0.0776862996848297
1,ENSG00000185860.14,1,Weighted Median,7,-0.0487920070411334,0.0636785107942295,0.443542994978361
1,ENSG00000143228.13,1,Weighted Median,6,-0.0644908621211827,0.071863138085369,0.3694989657849
1,ENSG00000143512.13,1,Weighted Median,5,0.0675308605043203,0.065318458526936,0.30119647059157
1,ENSG00000143498.18,1,Weighted Median,6,-0.0297198014720478,0.0721935890065312,0.680582670347284
1,ENSG00000225265.2,1,Weighted Median,13,-0.034201852167302,0.0518121064181454,0.509181228111547
1,ENSG00000154305.18,1,Weighted Median,4,-0.249698898914578,0.214029111009684,0.243348275806368
1,ENSG00000272750.1,1,Weighted Median,7,0.0146159984034234,0.0331979105135274,0.659742562100526
1,ENSG00000162819.12,1,Weighted Median,6,0.112866071194712,0.115616295191493,0.328959175963174
1,ENSG00000186063.13,1,Weighted Median,4,-0.00280316061921739,0.139123712594175,0.983924758654356
1,ENSG00000287684.1,1,Weighted Median,3,-0.0436776554555853,0.226414976073477,0.847029652437295
1,ENSG00000287338.1,1,Weighted Median,3,0.197816310986987,0.181123500297934,0.274761642991795
1,ENSG00000187554.14,1,Weighted Median,3,0.177187056638669,0.180855578143045,0.327226454153351
1,ENSG00000198715.13,1,Weighted Median,5,0.127967900058313,0.113494207759354,0.259519297898847
