gene_id,n_snps,mean_F,median_F,min_F,p25_F,p75_F,n_weak_lt10,pct_weak_lt10,strength_flag
ENSG00000223345.4,6,80.80586565754743,98.2397125487155,2.8658517140221234,76.54678229571978,106.00427317242227,1,0.16666666666666666,adequate
ENSG00000223745.8,50,47.033514035539305,2.0044352776420973,0.002069649153136737,0.2151709196829231,20.318053963199166,33,0.66,adequate
ENSG00000142856.17,45,46.93414373975223,2.245019896814234,0.08441937185904909,0.7191991260767964,11.857944021015365,33,0.7333333333333333,adequate
ENSG00000272195.1,38,18.916799592756842,1.7544535112769108,0.0015837351207218541,0.7885233123876356,6.024150751752053,31,0.8157894736842105,adequate
ENSG00000198468.10,67,18.057752998064416,0.6619627897549876,8.757707993079545e-5,0.2028799341159871,4.581694892938247,56,0.835820895522388,adequate
ENSG00000137944.18,46,16.00503871200644,2.6364942193223113,0.03884231295601205,0.4107698377559236,13.870121626559424,28,0.6086956521739131,adequate
ENSG00000122481.17,56,15.621852008805252,4.590499011574388,0.002194610171289127,0.6779662099308866,17.997036351785447,30,0.5357142857142857,adequate
ENSG00000116874.12,40,14.907898160692046,3.1288349069597094,1.495636293777461e-4,0.5049965268437567,16.55465211449932,24,0.6,adequate
ENSG00000272865.2,47,14.487104512367875,2.3694539164072523,7.405657014735928e-7,0.5994632408644469,13.300081133001378,28,0.5957446808510638,adequate
ENSG00000286619.1,65,14.445031736334494,1.3118733958438196,3.163888962900768e-5,0.43392426154270053,4.049531658063282,51,0.7846153846153846,adequate
ENSG00000231365.7,40,14.077026281213325,1.6600693582430557,0.0027804579294877425,0.15034381492945104,10.415358400125772,30,0.75,adequate
ENSG00000229739.4,41,14.066062612256486,12.546018120842591,0.002939743276599304,1.011424670726302,17.68680930372847,17,0.4146341463414634,adequate
ENSG00000203666.13,38,13.929435094125578,1.5734503330070788,0.021485827174853745,0.3420707427494991,9.938992504797787,28,0.7368421052631579,adequate
ENSG00000197568.15,33,13.834608703107985,5.306373739309467,1.5116189378048257e-4,1.3823084326005834,16.743091207810252,17,0.5151515151515151,adequate
ENSG00000233184.8,59,13.190450345082796,1.8501772340436708,0.0014419581735912114,0.3128116260097037,12.046720255781766,42,0.711864406779661,adequate
ENSG00000272750.1,47,12.68197309572993,1.947831525699742,0.017372794195190305,0.5086317115312595,10.834860730511792,34,0.723404255319149,adequate
