"p_threshold","n_genes","mean_nsnps","median_nsnps","sd_nsnps","mean_hetQ","median_hetQ","sd_hetQ","mean_pvalue","median_pvalue","n_significant"
1e-05,5008,36.4720447284345,34,18.7067607349942,17.8970802126478,0.531015462289538,26.4691545030861,0.408637648447066,0.369536231425859,820
1e-04,5038,49.2584358872568,47,23.1077678106163,24.6976846559697,0.669449827761925,35.437778734451,0.402733406713471,0.35656091264905,855
0.001,5066,85.002763521516,87,31.4211150052931,43.1189331912384,0.403533538557604,52.8714957708746,0.397061088895755,0.350966092409701,852
